2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | ======================================================================
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | CKD Feature Engineering - START
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | ======================================================================
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Loaded processed dataset: data/processed/uci_processed.csv -> shape (400, 27)
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Loaded processed dataset: data/processed/kaggle_processed.csv -> shape (200, 31)
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Loaded processed dataset: data/processed/uae_processed.csv -> shape (491, 24)
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Starting feature engineering …
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'bun_creatinine_ratio' from ['blood_urea', 'serum_creatinine'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'sodium_potassium_ratio' from ['sodium', 'potassium'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'bp_risk_score' from ['blood_pressure'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'anemia_risk_score' from ['hemoglobin', 'packed_cell_volume', 'red_blood_cell_count'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'cardiovascular_burden_score' from ['hypertension', 'coronary_artery_disease', 'diabetes_mellitus'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'age_creatinine_interaction' from ['age', 'serum_creatinine'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'urea_creatinine_product' from ['blood_urea', 'serum_creatinine'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'hemoglobin_creatinine_ratio' from ['hemoglobin', 'serum_creatinine'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Created feature 'albumin_specific_gravity_interaction' from ['albumin', 'specific_gravity'] (400 non-null / 400 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uci] Feature engineering complete: 9 feature(s) created, final shape (400, 36).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Starting feature engineering …
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'bun_creatinine_ratio' from ['blood_urea', 'serum_creatinine'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'sodium_potassium_ratio' from ['sodium', 'potassium'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'kidney_dysfunction_score' from ['serum_creatinine', 'egfr'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'bp_risk_score' from ['blood_pressure_diastolic'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'anemia_risk_score' from ['hemoglobin', 'packed_cell_volume', 'red_blood_cell_count'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'cardiovascular_burden_score' from ['hypertension', 'coronary_artery_disease', 'diabetes_mellitus'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'age_creatinine_interaction' from ['age', 'serum_creatinine'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'urea_creatinine_product' from ['blood_urea', 'serum_creatinine'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'hemoglobin_creatinine_ratio' from ['hemoglobin', 'serum_creatinine'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'albumin_specific_gravity_interaction' from ['albumin', 'specific_gravity'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Created feature 'egfr_age_ratio' from ['egfr', 'age'] (200 non-null / 200 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [kaggle] Feature engineering complete: 11 feature(s) created, final shape (200, 42).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Starting feature engineering …
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Created feature 'kidney_dysfunction_score' from ['serum_creatinine', 'egfr'] (491 non-null / 491 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Created feature 'bp_risk_score' from ['systolic_bp', 'diastolic_bp'] (491 non-null / 491 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Created feature 'metabolic_risk_score' from ['history_diabetes', 'history_obesity', 'history_dyslipidemia', 'bmi', 'cholesterol'] (491 non-null / 491 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Created feature 'cardiovascular_burden_score' from ['history_hypertension', 'history_chd', 'history_diabetes'] (491 non-null / 491 rows).
2026-06-21 23:38:31 | INFO     | ckd_feature_engineering | [uae] Created feature 'cardiovascular_burden_score_extended' from ['history_hypertension', 'history_chd', 'history_diabetes', 'history_vascular', 'history_smoking'] (491 non-null / 491 rows).
